"num.trees","mtry","min.node.size","OOB_R2","MSE","fold"
500,2,5,0.550354690438254,0.00512852274711507,1
1000,1,1,0.320279694300754,0.00755048846980793,2
1000,1,1,0.349836359899393,0.00710241120921406,3
2000,2,5,0.415676845138006,0.00675458988569631,4
500,2,3,0.476280312458191,0.00589520519533884,5
500,2,3,0.479711655894161,0.00570703208752318,6
2000,2,5,0.382831234543479,0.00719340643497512,7
1000,2,5,0.343236115225908,0.00766964700111417,8
1000,1,5,0.416789857621775,0.00665895873060905,9
1000,1,6,0.460125197917663,0.00533579060031283,10
500,1,3,0.429692050588034,0.00659257856680365,11
10000,2,6,0.301852740531875,0.00807036034477148,12
500,2,6,0.365689324391448,0.00739931538759161,13
500,2,6,0.46031213949821,0.00611260839117555,14
10000,1,6,0.192655728690172,0.00810611391125421,15
2000,2,6,0.426842473835602,0.00645169793377718,16
2000,3,3,0.465997995624975,0.00585745694343293,17
2000,2,6,0.460886833131952,0.00628887410681721,18
2000,2,6,0.310652493082152,0.00804139084942018,19
2000,2,6,0.419051971890658,0.00677422087017687,20
1000,2,6,0.387744984763965,0.00715029232675517,21
2000,1,6,0.217980177572654,0.00872860905668471,22
2000,2,5,0.473868062067057,0.00603474056516096,23
2000,2,5,0.486869087750554,0.00589915484856068,24
2000,2,5,0.524040878633852,0.00529978565929278,25
1000,1,3,0.376831858235303,0.00717951486217713,26
2000,2,3,0.304496890182335,0.0080490689093754,27
10000,2,1,0.387982176994947,0.00714093386931483,28
2000,2,6,0.497560345625182,0.00547287498524217,29
1000,1,3,0.39308955088968,0.00685193348615655,30
2000,1,1,0.430943831652869,0.00618065800090153,31
