"fold","variable"
1,"coast_rivers_30s_dist"
1,"ne_10m_urban_areas_30s_dist"
1,"wc2.1_30s_bio_6"
1,"wc2.1_30s_bio_7"
2,"ne_10m_urban_areas_30s_dist"
2,"wc2.1_30s_bio_6"
3,"ne_10m_urban_areas_30s_dist"
3,"wc2.1_30s_bio_6"
4,"coast_rivers_30s_dist"
4,"ne_10m_urban_areas_30s_dist"
4,"wc2.1_30s_bio_15"
4,"wc2.1_30s_bio_3"
4,"wc2.1_30s_bio_6"
5,"coast_rivers_30s_dist"
5,"ne_10m_urban_areas_30s_dist"
5,"wc2.1_30s_bio_15"
5,"wc2.1_30s_bio_3"
5,"wc2.1_30s_bio_6"
6,"coast_rivers_30s_dist"
6,"ne_10m_urban_areas_30s_dist"
6,"wc2.1_30s_bio_15"
6,"wc2.1_30s_bio_3"
6,"wc2.1_30s_bio_6"
7,"coast_rivers_30s_dist"
7,"ne_10m_urban_areas_30s_dist"
7,"wc2.1_30s_bio_15"
7,"wc2.1_30s_bio_3"
7,"wc2.1_30s_bio_6"
8,"coast_rivers_30s_dist"
8,"ne_10m_urban_areas_30s_dist"
8,"wc2.1_30s_bio_15"
8,"wc2.1_30s_bio_6"
9,"ne_10m_urban_areas_30s_dist"
9,"wc2.1_30s_bio_3"
9,"wc2.1_30s_bio_6"
10,"ne_10m_urban_areas_30s_dist"
10,"wc2.1_30s_bio_3"
10,"wc2.1_30s_bio_6"
11,"coast_rivers_30s_dist"
11,"ne_10m_urban_areas_30s_dist"
11,"wc2.1_30s_bio_6"
12,"coast_rivers_30s_dist"
12,"ne_10m_urban_areas_30s_dist"
12,"wc2.1_30s_bio_15"
12,"wc2.1_30s_bio_6"
13,"coast_rivers_30s_dist"
13,"ne_10m_urban_areas_30s_dist"
13,"wc2.1_30s_bio_15"
13,"wc2.1_30s_bio_3"
13,"wc2.1_30s_bio_6"
14,"ne_10m_urban_areas_30s_dist"
14,"wc2.1_30s_bio_15"
14,"wc2.1_30s_bio_3"
14,"wc2.1_30s_bio_6"
14,"wc2.1_30s_bio_7"
15,"ne_10m_urban_areas_30s_dist"
15,"wc2.1_30s_bio_10"
15,"wc2.1_30s_bio_15"
16,"coast_rivers_30s_dist"
16,"ne_10m_urban_areas_30s_dist"
16,"wc2.1_30s_bio_15"
16,"wc2.1_30s_bio_3"
16,"wc2.1_30s_bio_6"
17,"coast_rivers_30s_dist"
17,"ne_10m_urban_areas_30s_dist"
17,"wc2.1_30s_bio_15"
17,"wc2.1_30s_bio_3"
17,"wc2.1_30s_bio_5"
17,"wc2.1_30s_bio_6"
18,"coast_rivers_30s_dist"
18,"ne_10m_urban_areas_30s_dist"
18,"wc2.1_30s_bio_3"
18,"wc2.1_30s_bio_6"
19,"coast_rivers_30s_dist"
19,"ne_10m_urban_areas_30s_dist"
19,"wc2.1_30s_bio_15"
19,"wc2.1_30s_bio_6"
20,"coast_rivers_30s_dist"
20,"ne_10m_urban_areas_30s_dist"
20,"wc2.1_30s_bio_15"
20,"wc2.1_30s_bio_3"
20,"wc2.1_30s_bio_6"
21,"ne_10m_urban_areas_30s_dist"
21,"wc2.1_30s_bio_15"
21,"wc2.1_30s_bio_3"
21,"wc2.1_30s_bio_6"
22,"ne_10m_urban_areas_30s_dist"
22,"wc2.1_30s_bio_15"
22,"wc2.1_30s_bio_6"
23,"coast_rivers_30s_dist"
23,"ne_10m_urban_areas_30s_dist"
23,"wc2.1_30s_bio_3"
23,"wc2.1_30s_bio_6"
23,"wc2.1_30s_bio_7"
24,"coast_rivers_30s_dist"
24,"ne_10m_urban_areas_30s_dist"
24,"wc2.1_30s_bio_3"
24,"wc2.1_30s_bio_6"
25,"coast_rivers_30s_dist"
25,"ne_10m_urban_areas_30s_dist"
25,"wc2.1_30s_bio_3"
25,"wc2.1_30s_bio_6"
26,"coast_rivers_30s_dist"
26,"ne_10m_urban_areas_30s_dist"
26,"wc2.1_30s_bio_6"
27,"coast_rivers_30s_dist"
27,"ne_10m_urban_areas_30s_dist"
27,"wc2.1_30s_bio_15"
27,"wc2.1_30s_bio_6"
28,"coast_rivers_30s_dist"
28,"ne_10m_urban_areas_30s_dist"
28,"wc2.1_30s_bio_15"
28,"wc2.1_30s_bio_6"
28,"wc2.1_30s_bio_7"
29,"coast_rivers_30s_dist"
29,"ne_10m_urban_areas_30s_dist"
29,"wc2.1_30s_bio_3"
29,"wc2.1_30s_bio_6"
30,"coast_rivers_30s_dist"
30,"ne_10m_urban_areas_30s_dist"
30,"wc2.1_30s_bio_6"
31,"ne_10m_urban_areas_30s_dist"
31,"wc2.1_30s_bio_6"
31,"wc2.1_30s_bio_7"
